client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,variation
7353823,7.0,87.0,30.5,U,3.0,42964.84,6.0,9.0,control
5724791,13.0,156.0,43.5,M,2.0,106541.56,3.0,6.0,control
9827824,26.0,315.0,34.0,M,2.0,54774.58,0.0,3.0,control
4482137,12.0,153.0,65.5,M,2.0,593083.49,4.0,7.0,control
6047402,7.0,88.0,32.0,U,2.0,38331.77,6.0,9.0,control
3248832,4.0,58.0,29.5,U,2.0,51858.46,6.0,9.0,control
6199931,15.0,191.0,45.0,F,3.0,60751.78,4.0,7.0,control
3222647,7.0,90.0,57.5,F,2.0,59223.59,1.0,4.0,control
9849901,6.0,79.0,54.0,U,2.0,113369.94,4.0,7.0,control
6490503,5.0,63.0,65.0,M,2.0,39490.17,2.0,5.0,control
669361,4.0,59.0,23.5,U,3.0,62158.44,6.0,9.0,control
715813,6.0,72.0,72.0,M,3.0,45217.0,6.0,9.0,control
4352988,7.0,85.0,36.5,M,3.0,123322.21,4.0,7.0,control
9229,8.0,105.0,42.0,M,2.0,78242.15,6.0,9.0,control
6075049,13.0,167.0,35.0,M,2.0,24983.03,4.0,7.0,control
7610751,14.0,169.0,65.0,F,2.0,42525.59,4.0,7.0,control
2712519,11.0,136.0,33.0,M,2.0,27222.09,1.0,4.0,control
4189206,22.0,275.0,51.0,M,2.0,106022.75,5.0,8.0,control
451897,18.0,221.0,57.0,M,2.0,25790.53,2.0,5.0,control
5410439,16.0,203.0,55.5,F,2.0,115895.67,5.0,8.0,control
2057277,5.0,69.0,26.0,U,2.0,51566.28999999999,6.0,9.0,control
8164670,5.0,67.0,66.0,M,5.0,700396.88,6.0,9.0,control
3078880,6.0,72.0,24.5,U,3.0,44301.17999999999,1.0,4.0,control
6553321,15.0,185.0,47.5,M,2.0,146323.71,2.0,5.0,control
1345360,13.0,166.0,44.5,F,2.0,78467.17,1.0,4.0,control
9851949,8.0,105.0,41.0,M,2.0,52055.84,5.0,8.0,control
6426294,7.0,94.0,24.0,U,2.0,37492.98,1.0,4.0,control
7567135,13.0,162.0,49.0,M,2.0,32567.26,1.0,4.0,control
1760751,5.0,68.0,48.0,U,2.0,62035.39,2.0,5.0,control
7326173,8.0,99.0,27.0,F,2.0,65906.16,0.0,3.0,control
3966408,12.0,151.0,57.5,M,2.0,441711.47,4.0,7.0,control
8643954,11.0,141.0,67.0,M,2.0,40652.4,4.0,7.0,control
2013566,7.0,90.0,20.5,U,2.0,39128.97,4.0,7.0,control
3648823,8.0,100.0,69.0,U,2.0,107874.48,6.0,9.0,control
4592404,12.0,152.0,53.5,M,2.0,30702.1,2.0,5.0,control
6155943,21.0,262.0,80.5,M,3.0,1404291.95,4.0,8.0,control
4431508,18.0,224.0,31.5,M,2.0,77835.1,6.0,9.0,control
5479458,17.0,214.0,61.0,M,3.0,187210.09000000003,4.0,7.0,control
8277940,4.0,57.0,47.0,U,2.0,168686.21000000002,6.0,9.0,control
2382972,9.0,119.0,58.0,F,2.0,25573.0,6.0,9.0,control
8926765,9.0,115.0,63.5,F,2.0,32980.399999999994,6.0,9.0,control
8433974,6.0,83.0,20.0,U,2.0,27577.46,6.0,9.0,control
4344239,30.0,362.0,92.5,F,2.0,212451.69,3.0,6.0,control
9423009,7.0,85.0,66.5,U,2.0,300588.55,2.0,5.0,control
3662912,10.0,120.0,73.0,M,2.0,41334.8,0.0,4.0,control
1567815,10.0,126.0,49.0,F,2.0,284165.95,0.0,3.0,control
1262832,7.0,88.0,30.0,U,2.0,35484.73,0.0,3.0,control
4224830,9.0,114.0,74.0,M,2.0,314322.12,0.0,3.0,control
4304328,6.0,75.0,35.0,U,2.0,62038.89,1.0,4.0,control
2583871,15.0,185.0,65.0,F,2.0,50479.44,5.0,8.0,control
7147633,14.0,173.0,63.5,F,2.0,209665.79,6.0,9.0,control
9126610,24.0,289.0,46.0,M,2.0,89772.8,5.0,8.0,control
8911088,23.0,287.0,35.0,F,2.0,40938.98,0.0,3.0,control
1270300,23.0,287.0,56.0,F,3.0,4011854.79,5.0,8.0,control
4735879,22.0,270.0,58.5,U,3.0,483399.04,2.0,5.0,control
2638326,21.0,262.0,51.5,M,2.0,35187.99,0.0,3.0,control
4898296,21.0,262.0,62.5,M,3.0,926314.72,6.0,9.0,control
2440502,21.0,261.0,66.0,M,3.0,437365.42,5.0,8.0,control
7707032,12.0,153.0,57.5,M,2.0,129379.76,1.0,4.0,control
114780,7.0,89.0,28.0,U,2.0,58839.75,4.0,7.0,control
3798672,13.0,165.0,26.5,U,2.0,26773.44,6.0,9.0,control
3179251,11.0,143.0,39.0,F,3.0,164109.27000000002,6.0,9.0,control
244304,13.0,164.0,45.0,M,2.0,42791.73,0.0,3.0,control
1715432,6.0,82.0,57.0,U,3.0,86221.9,2.0,6.0,control
7178945,9.0,116.0,33.5,F,2.0,88062.51999999999,6.0,9.0,control
587753,8.0,101.0,63.0,F,2.0,214298.38,4.0,7.0,control
6265100,15.0,189.0,60.5,U,2.0,34444.59,1.0,4.0,control
5949254,8.0,107.0,56.5,M,3.0,1613788.26,6.0,9.0,control
2578270,10.0,124.0,59.0,F,2.0,54882.02,4.0,7.0,control
6371663,6.0,79.0,27.5,U,2.0,65231.17,3.0,6.0,control
583207,7.0,95.0,61.0,U,4.0,735689.62,4.0,7.0,control
4021585,13.0,160.0,51.5,M,3.0,63464.39,6.0,9.0,control
1180047,23.0,286.0,59.5,F,2.0,414771.62,6.0,9.0,control
6796240,20.0,241.0,59.0,M,3.0,87512.01,5.0,8.0,control
5316980,5.0,64.0,55.5,U,2.0,187854.23,0.0,3.0,control
9669811,12.0,144.0,49.0,F,2.0,42256.6,4.0,7.0,control
627840,6.0,81.0,55.0,U,2.0,231780.73,3.0,6.0,control
4043355,4.0,58.0,31.5,U,3.0,140430.33000000002,6.0,9.0,control
8394449,16.0,192.0,40.0,F,2.0,86010.95999999999,3.0,6.0,control
3169281,10.0,130.0,57.0,M,2.0,36059.06,6.0,9.0,control
3165398,7.0,91.0,25.5,M,3.0,50596.0,6.0,9.0,control
6526123,5.0,70.0,60.0,U,2.0,64124.02,2.0,5.0,control
577488,8.0,103.0,38.0,M,3.0,53212.24,1.0,4.0,control
542598,9.0,109.0,31.0,F,2.0,36164.71,0.0,3.0,control
2692859,23.0,279.0,73.0,M,3.0,442655.44,6.0,9.0,control
5677350,7.0,95.0,37.5,U,2.0,58969.75,0.0,3.0,control
3019756,11.0,133.0,58.0,F,2.0,28108.26,1.0,4.0,control
8128924,9.0,116.0,45.5,M,2.0,77236.23999999999,2.0,5.0,control
8119900,4.0,59.0,56.0,U,2.0,32895.42,1.0,4.0,control
1726629,16.0,197.0,34.0,U,2.0,27976.18,1.0,4.0,control
9737013,8.0,98.0,47.0,F,3.0,163608.65000000002,6.0,9.0,control
7334580,27.0,332.0,79.0,F,2.0,52034.24,1.0,5.0,control
7023561,6.0,82.0,18.0,U,2.0,35161.52,0.0,3.0,control
4575997,21.0,255.0,46.5,F,2.0,69649.42,6.0,9.0,control
1516424,11.0,143.0,50.5,F,2.0,39290.49,6.0,9.0,control
5680443,12.0,155.0,56.5,M,2.0,124655.87,2.0,5.0,control
4413451,8.0,97.0,33.0,U,2.0,75944.76,1.0,4.0,control
2787270,4.0,57.0,33.5,M,2.0,93151.29,6.0,9.0,control
8312125,9.0,115.0,67.0,M,2.0,37958.31,0.0,3.0,control
1472138,6.0,78.0,22.0,U,3.0,30212.04,1.0,4.0,control
3398684,18.0,224.0,42.0,F,2.0,74533.17,5.0,8.0,control
3720968,23.0,280.0,34.0,M,2.0,118728.37,2.0,5.0,control
4578988,22.0,275.0,38.5,M,3.0,145170.58000000002,6.0,9.0,control
3658729,21.0,263.0,66.0,F,2.0,36392.4,3.0,6.0,control
1434262,21.0,257.0,25.0,M,3.0,62488.77,1.0,4.0,control
9480795,20.0,241.0,67.5,M,2.0,32877.149999999994,3.0,6.0,control
4385791,14.0,174.0,49.0,F,3.0,107711.38,4.0,7.0,control
115834,6.0,80.0,43.0,U,2.0,77246.63,2.0,5.0,control
2718368,13.0,156.0,55.5,F,2.0,121634.61,4.0,7.0,control
9289178,5.0,65.0,51.5,F,2.0,49273.53,4.0,7.0,control
9673982,4.0,59.0,26.5,U,3.0,53180.17,6.0,9.0,control
5354683,10.0,123.0,31.0,M,2.0,36416.87,6.0,9.0,control
7943230,12.0,150.0,60.5,M,4.0,506639.95,6.0,9.0,control
1841425,28.0,343.0,64.0,F,2.0,278065.19,2.0,5.0,control
5776273,24.0,296.0,28.5,M,2.0,301464.6,2.0,5.0,control
7281713,16.0,202.0,56.5,F,3.0,455937.38,0.0,3.0,control
7252114,6.0,75.0,52.5,M,3.0,176644.07,3.0,6.0,control
5854788,16.0,194.0,41.0,M,2.0,84732.76,1.0,4.0,control
1289497,6.0,81.0,57.0,F,2.0,72542.82,3.0,6.0,control
2462140,10.0,121.0,49.5,F,4.0,144793.68,5.0,8.0,control
7516880,8.0,96.0,32.0,U,3.0,102982.19,6.0,9.0,control
6263283,6.0,82.0,46.5,U,2.0,82122.63,6.0,9.0,control
8632914,7.0,90.0,66.5,U,2.0,360052.15,1.0,4.0,control
839800,5.0,60.0,24.0,U,2.0,40999.56,0.0,3.0,control
8770437,23.0,276.0,52.0,M,3.0,1521471.3199999998,6.0,9.0,control
7859805,22.0,275.0,46.5,F,3.0,215545.43,2.0,5.0,control
7743470,22.0,264.0,58.0,F,3.0,91092.91,6.0,9.0,control
4994001,21.0,263.0,35.5,M,2.0,420035.47,5.0,8.0,control
7567,21.0,252.0,33.0,F,2.0,27165.99,1.0,5.0,control
3404111,20.0,248.0,26.0,F,3.0,62776.63,3.0,6.0,control
5730041,16.0,192.0,52.5,M,2.0,389615.5,4.0,7.0,control
6489910,13.0,167.0,59.0,M,2.0,72870.95999999999,2.0,5.0,control
6564529,12.0,152.0,46.5,M,3.0,75771.15,6.0,9.0,control
5536337,5.0,71.0,60.5,U,2.0,27841.69,3.0,6.0,control
3302386,5.0,69.0,53.0,M,2.0,64276.63,2.0,5.0,control
3944371,5.0,71.0,28.5,U,2.0,132211.28999999998,5.0,8.0,control
2518804,8.0,98.0,63.0,M,2.0,112430.2,6.0,9.0,control
7051278,15.0,187.0,54.0,F,2.0,48191.84,0.0,3.0,control
1778797,19.0,237.0,56.0,F,2.0,24919.99,1.0,4.0,control
2206737,7.0,94.0,28.0,U,3.0,253926.61,6.0,9.0,control
5541129,7.0,90.0,34.0,U,2.0,71987.93,0.0,3.0,control
4761635,14.0,169.0,39.5,M,2.0,35428.05,1.0,4.0,control
2427319,13.0,158.0,30.0,M,2.0,92959.15,0.0,3.0,control
6326243,15.0,189.0,49.0,M,2.0,62598.78,1.0,4.0,control
9952350,15.0,180.0,37.0,M,2.0,87600.15,0.0,3.0,control
9048979,5.0,67.0,71.0,M,2.0,36016.83,0.0,3.0,control
590121,12.0,147.0,36.5,M,2.0,58937.87,3.0,6.0,control
2858874,8.0,102.0,40.5,U,4.0,61530.39,6.0,9.0,control
5395795,14.0,178.0,50.0,M,2.0,32340.14,1.0,4.0,control
6041814,5.0,71.0,51.5,M,3.0,493064.53,6.0,9.0,control
5677735,26.0,320.0,61.5,F,2.0,55255.75,0.0,3.0,control
539094,14.0,179.0,74.5,F,2.0,111207.72,5.0,8.0,control
5895605,22.0,274.0,27.0,M,2.0,60164.72,0.0,3.0,control
